ArticleId,MPN
GW121U030-K11,550204-31091_80837
GW121G03Q-K11,93192-31359_80837
GW121G042-K11,530017-38497_83100
GW121D0CS-T11,470028-44004_9082
GW121U02V-J11,550003-31127_30867
GW121D0C7-T11,97572-35099_8110
GW121E0BM-K11,460311-66475_8089
GW121E0C3-A11,570262-35062_9114
GW121A07O-T11,520016-31247_5102
GW121I068-J12,571012-35704_30874
GW121G03U-T11,530009-38090_8080
GW121E0BZ-K11,460317-66484_8089
GW151G02D-T11,500013-72011_5114
GW121D0CO-K11,570234-35034_80880
GW121E0CK-M11,560021-31526_9114
GW121N02K-K11,422037-67813_859002
GW121I075-A11,531054-35709_99600
GW121I075-A11,93196-35709_99700
GW121A07K-B11,520010-38186_90475
GW121E0B1-T11,96291-31519_9089
GW151G02K-J11,400017-72217_3039
GW121I06I-J12,571005-35705_30874
GW151G025-T11,90039-72009_8100
GW121C05H-A11,580014-38314_9114
GW121C05Q-M11,580023-31547_50901
GW121I072-K11,470552-44711_8050
GW121D0D3-A11,470032-44018_99700
GW121E0C1-A11,460314-66485_99600
GW121J029-A11,571031-35711_9119
GW121E0CB-A11,570309-35109_9123
GW121A07L-E11,92411-67712_50896
GW121E0CF-J11,560027-31531_9123
GW121B04R-A11,510008-31499_99700
GW121A07N-A11,92415-67712_98600
GW151G02E-E11,400004-72204_5089
GW121D0E0-A11,470097-44119_99600
GW121D0CW-T11,470068-44006_9081
GW121A07M-B11,422035-67965_98600
GW121E0BA-M11,460318-66479_4058
GW151G023-T11,400007-72207_8088
GW121U033-M11,550209-31029_5109
GW121B04I-K11,510003-38090_8080
GW121U03A-L11,550213-31134_50412
GW121U034-K11,540300-31134_80837
GW121U036-T11,550207-31012_9004
GW121I06S-K11,531055-35708_80881
GW121C05B-M11,580004-38312_5102
GW121A085-A11,422095-66836_99600
GW121E0AA-T11,560003-38307_9107
GW121A07S-T11,422213-67735_3108
GW121J022-J11,430000-44040_606740
GW121D0DH-A11,470062-44101_99700
GW121E0B5-K11,570224-35024_80837
GW121C05G-K11,98046-35020_8100
GW121D0CV-A11,570240-35040_99700
GW121D0D7-A11,470030-44013_99700
GW121D0CZ-J11,570254-35054_30875
GW121E0BV-K12,460350-66483_8089
GW121E0AE-T11,470001-44005_1039
GW121D0CE-A11,470065-44101_99700
GW121N01Q-A11,92151-67850_99600
GW121E0CI-M11,460336-66503_50903
GW121I06F-G11,430215-44718_60674
GW121I06Y-E11,571026-35709_50899
GW121D0D1-M11,470070-44002_5039
GW121I074-Q11,430212-44713_80879
GW121D0CI-K11,470045-44142_8082
GW121E0BJ-A11,560019-38308_9114
GW121I06G-K11,97599-44702_80837
GW121E0BW-E11,560022-31524_50899
GW121D0DU-M11,470146-44072_5058
GW121E0BE-M11,570244-35044_5102
ZZO19PU05-K00,92323-67697_82200
GW121B04L-N11,410102-67841_50895
GW121C05O-E11,580015-38176_5111
GW121I06V-K11,470525-44719_80879
GW121I076-M11,470543-44705_5050
GW121N02C-K11,422039-67614_873006
GW151Q00P-K11,102063-21011_80486
GW121G03W-K11,530007-31358_80880
GW121C05L-K11,98049-31582_80837
GW121G047-M11,530026-38093_5111
GW121N02F-E11,520018-31499_50899
GW121G03Y-G11,550203-31134_60673
GW121J023-J11,470003-44020_60674
GW121E0AK-T11,96293-66486_9087
GW121A04D-J11,520025-31212_30882
GW121A07P-Q11,520002-38051_11000
GW121N01S-K11,92406-31497_831002
GW121N024-K11,422025-67760_86800
GW121J01Z-K11,97590-35711_8110
GW121A07B-B11,520007-38186_90475
GW121N01R-M11,92150-67851_50895
GW121N01R-M11,92151-67851_50895
GW121A07F-K11,422065-67719_80879
GW121U038-M11,550208-31016_5109
GW121E0BR-K11,470061-44072_8089
GW121U039-K11,95112-31091_80837
GW121A086-T11,422115-66886_8089
GW121B04U-M11,410111-66777_5089
GW121I079-A11,470544-44702_99700
GW121D0DK-E11,570259-35059_50899
GW121E0AX-K11,570227-35027_8100
GW121I06N-A11,97602-44706_99700
GW121D0DY-A11,570305-35105_99600
GW121N02E-K11,422057-67717_8107
GW121C05J-K11,580009-31518_80879
GW121A07H-K11,520951-35709_80837
GW121N02J-A11,422229-66880_99600
GW121N02J-A11,92335-67813_99600
GW151G020-J11,400000-72200_6018
GW121J020-K11,97591-35711_8102
GW121N02P-E11,422223-66801_5130
GW151G02H-E11,500015-72013_5107
GW121E0A8-T11,460301-66460_1098
GW121U037-B11,95116-31117_98600
GW121N02R-A11,422225-66880_99600
GW121A077-T11,520004-38231_9110
GW121D0BS-B11,97594-44700_904750
GW121D0EA-M11,470093-44045_50903
GW121U02Z-K11,550205-31160_80881
GW121E0AZ-K11,560016-31509_8100
GW121E0AC-J11,560004-31503_30868
GW151G026-K11,500008-72006_8100
GW121E0BH-J11,470029-44005_3058
GW121J027-J11,470538-44744_3059
GW121D0D0-T11,470031-44014_8092
GW121E0C4-A11,560029-31532_99600
GW121A07Z-A11,520015-38181_99700
GW121A07Y-T11,520023-31248_9114
GW121A05K-K11,92401-67697_80837
GW121D0DB-A11,570249-35049_9004
GW121D0DS-E11,570271-35071_50899
GW121D0CG-K11,470021-44008_8093
GW121A07U-K11,422067-66885_808790
GW121D0C8-K11,97571-35098_9083
GW121C05W-J11,485007-66499_30877
GW121B04V-T11,410108-67726_9117
GW121G03N-G11,530003-38088_3100
GW121E0CG-A11,460353-66510_99600
GW121A07T-M11,422051-67716_50895
GW121C05N-K11,485001-66484_5089
GW121U03O-M11,550015-31061_50901
GW121E0AN-A11,96289-31510_99700
GW121A07D-K11,422015-67704_8095
GW151G024-K11,400009-72209_8089
GW121G04C-E11,530042-31499_50899
GW151G02F-A11,500010-72008_9114
GW121D0CF-A11,470035-44033_99700
GW121E0CJ-M11,460332-66490_5059
GW121J028-A11,470058-44101_99700
GW121D0E2-T11,470111-44146_3053
GW121E0B0-K11,560017-31502_9087
GW121E0CA-A11,570308-35108_9123
GW121B04Q-A11,410109-66803_80879
GW121C057-K11,98048-44017_80879
GW121E0B7-J11,96294-66475_5089
GW121B04M-M11,510007-31527_5113
GW121C05T-M11,485081-44017_3058
GW121E0CN-A11,272413-29123_9700
GW121E0CN-A11,460330-66499_99600
GW121E0C6-J12,460329-66489_9038
GW121D0CT-T11,470079-44101_80879
GW121E0AS-T11,97586-35091_8100
GW121D0DC-A11,570261-35061_99700
GW121D0E3-A11,570312-35112_9123
GW121U03C-N11,550010-31148_50897
GW121D0CU-A11,470067-44076_99700
GW121E0AB-T11,560006-38306_9107
GW121I06J-B11,97583-44723_904750
GW121E0BL-K11,97592-35035_9083
GW121C059-K11,580990-35709_80837
GW121D0BW-T11,570203-35003_9107
GW121N029-K11,92307-67840_859002
GW121E0AM-K11,96288-66482_8096
GW121I06P-K11,97595-44702_8092
GW121I06Z-M11,531062-35709_50891
GW121D0CH-A11,470066-44016_99700
GW121A089-M11,422897-44017_5058
GW121D0CN-K11,570228-35028_8094
GW121A080-A11,520024-38181_99700
GW121U03J-M11,540301-31122_50890
GW121E0B3-A11,560011-31400_99700
GW121D0DP-A11,570258-35058_9122
GW121D0E1-A11,470110-44150_99600
GW121A03L-A11,92343-67712_99600
GW121U03K-K11,530018-31702_50892
GW121C05U-G11,580905-35117_9123
GW121E0AT-A11,97593-35070_99700
GW121G041-K11,530019-31271_80837
GW121E0B2-T11,570226-35026_8100
GW121U02Y-J11,550216-31121_30869
GW121U035-T11,540351-31012_9004
GW121C05A-M11,580007-31527_5113
GW121G04K-K11,530032-31651_83100
GW121I073-K11,470545-44713_50892
GW121D0DF-T11,470050-44002_5089
GW121N02Q-B11,422227-66880_98600
GW121E0AF-T11,97568-44005_8088
GW121C05M-A11,580904-35063_9114
GW121B04O-A11,410110-66633_99600
GW121E0CL-M11,560028-31535_5121
GW121B04N-T11,410122-67735_3108
GW121B04G-Q11,410100-66707_11000
GW121G03V-T11,93194-38113_8090
GW121D0D9-T11,470076-44008_5039
GW121D0CC-T11,97570-35097_8093
GW121E0BN-L11,560025-31524_50898
GW121C05C-M11,485010-66479_4058
GW121D0CR-K11,571016-35709_80880
GW121C05D-K11,485003-66633_80879
GW121E0BY-K11,470056-44119_50898
GW121I07J-E11,571028-35709_5114
GW121A084-A11,422089-67726_9117
GW121D0DI-A11,570256-35056_99700
GW121D0DW-M11,470123-44072_50903
GW121E0B8-T11,560009-38310_5102
GW121J025-B11,470554-44720_8092
GW121J025-B11,470554-44720_9092
GW121B04Y-K11,410106-67723_808644
GW121U031-B11,530016-31701_90475
GW121E0B9-A11,460320-66480_99700
GW121D0D8-A11,470033-44033_99700
GW121D0CY-N11,570242-35042_5102
GW121D0CB-J11,570208-35008_30874
GW121D0DG-K11,470049-44002_8059
GW121D0DZ-A11,570306-35106_9123
GW121U03E-M11,550013-31131_50898
GW121J024-J11,571009-35703_3101
GW121G03X-K11,530006-38181_80880
GW151G021-N11,90041-72214_5039
GW121A07X-T11,520020-38313_9114
GW121E0AU-K11,570332-35032_80837
GW121G043-J11,530012-31358_30875
GW121U02W-K12,95109-31197_80837
GW121D0DL-A11,570263-35063_9114
GW121J021-T11,571000-35703_9105
GW121N02G-A11,92413-31499_99700
GW121E0C5-M11,570315-35115_50902
GW121A00S-K11,92351-67905_82200
GW121A07R-K11,520003-38181_80880
GW121C05K-K11,98047-31514_8100
GW121D0DX-A11,570316-35116_99600
GW121E0BK-J11,570246-35046_3008
GW121E0CD-M11,470092-44045_3058
GW121D0CD-J11,470005-44007_60674
GW121J02A-A11,571001-35711_5119
GW121N02I-A11,92390-67850_99600
GW121D0D6-K11,97580-44004_8093
GW121A07A-J11,520003-38196_30868
GW121I07G-E11,470534-44735_50896
GW121B04H-T11,410101-67537_1098
GW121E0BS-K11,470060-44034_8089
GW121T006-T11,422893-44017_3058
GW121I06U-B11,430207-44719_904750
GW121A07V-T11,422091-67727_8112
GW121A087-T11,422101-66886_5089
GW121N02S-A11,422221-66801_8123
GW121G04J-N11,530021-38186_50891
GW121D0CQ-A11,96290-31401_99700
GW121E0C9-J11,460323-66489_9038
GW121I06O-A11,430208-44719_99700
GW121N027-K11,422109-67730_8116
GW151G027-K11,500009-72007_80880
GW121B04F-T11,510950-35703_1110
GW121U03I-N11,550009-31150_50891
GW121E0C2-K11,460313-67231_85900
GW121D0E7-A11,570307-35107_9123
GW121B04T-A11,510901-35063_9114
GW121A08B-J11,422896-44017_30877
GW121E0CE-T11,460324-66490_5097
GW121E0C7-J11,560036-31540_5121
GW121A07C-K11,422045-67900_82200
GW121N025-K11,422071-67760_868002
GW121D0DM-K11,470052-44026_80879
GW121G03Z-B11,95111-31091_98600
GW121E0BG-J11,560023-31524_30875
GW121D0DO-K11,470054-44052_80879
GW151G029-T11,500012-72010_5102
GW121N023-B11,92335-67965_98600
GW121D0DR-E11,570266-35066_5114
GW121I06H-B11,470516-44744_3099
GW121D0E5-A11,470126-44119_99600
GW121D0DA-A11,470075-44101_99700
